subject,recording,edge_wake_minutes,n_expert_epochs_before_edge_trim,n_scored_epochs,n_expert_stages,n_edge_wake_epochs_excluded,accuracy,balanced_accuracy_present_stages,macro_recall_5_stages,cohen_kappa,macro_f1
4,1,0,2569,1115,5,1454,0.7497757847533633,0.7497223615667036,0.7497223615667036,0.6320488921902131,0.6610240771799855
4,1,30,2569,1235,5,1334,0.7732793522267206,0.7682223615667034,0.7682223615667034,0.6811157444720889,0.7042812822946816
4,1,60,2569,1355,5,1214,0.7933579335793358,0.7734723615667034,0.7734723615667034,0.7133241552734302,0.7191062843342848
4,1,all,2569,2569,5,0,0.8890618917866874,0.7797451777335874,0.7797451777335874,0.8046076059898291,0.7404203640587117
8,1,0,2796,1014,5,1782,0.8382642998027613,0.773959100249734,0.773959100249734,0.7834007807137395,0.7938413934353867
8,1,30,2796,1134,5,1662,0.8465608465608465,0.7710613894412728,0.7710613894412728,0.7946274398373806,0.7914678903149526
8,1,60,2796,1254,5,1542,0.8588516746411483,0.7728938154139191,0.7728938154139191,0.8076732113473482,0.7933523448518461
8,1,all,2796,2796,5,0,0.9356223175965666,0.7803072036359682,0.7803072036359682,0.8615872418683742,0.8015827990012969
11,1,0,2641,808,5,1833,0.7648514851485149,0.6725101676579838,0.6725101676579838,0.6008704310817732,0.5563334366407267
11,1,30,2641,928,5,1713,0.7834051724137931,0.7185419136897299,0.7185419136897299,0.675320018520517,0.6753439882023332
11,1,60,2641,1048,5,1593,0.8062977099236641,0.726981712373431,0.726981712373431,0.7220482388923947,0.6873510081121006
11,1,all,2641,2641,5,0,0.9132904202953427,0.7347178892458033,0.7347178892458033,0.8190112291090779,0.6926274148002661
19,1,0,2774,1415,5,1359,0.8720848056537103,0.837549290191364,0.837549290191364,0.7922645167046534,0.7900344867455434
19,1,30,2774,1535,5,1239,0.8749185667752443,0.8333565492652063,0.8333565492652063,0.8102147383658969,0.8039535789409378
19,1,60,2774,1655,5,1119,0.8809667673716012,0.836326983086704,0.836326983086704,0.8258593532597927,0.8102483948759975
19,1,all,2774,2774,5,0,0.9188896899783706,0.8425865959335628,0.8425865959335628,0.8724332596935087,0.8165803060465932
21,1,0,2805,1458,5,1347,0.8607681755829903,0.8000296204641805,0.8000296204641805,0.7915950505109538,0.7616049185229847
21,1,30,2805,1578,5,1227,0.8713561470215463,0.8009058620749187,0.8009058620749187,0.8016442644866983,0.7634695425787539
21,1,60,2805,1698,5,1107,0.8804475853945819,0.8015389846260301,0.8015389846260301,0.809530493057716,0.7648293614756008
21,1,all,2805,2805,5,0,0.9265597147950089,0.8034412228982575,0.8034412228982575,0.8400309844283315,0.7673095294275399
22,1,0,2700,979,5,1721,0.6200204290091931,0.695720669410544,0.695720669410544,0.4634826163818503,0.5567400668426858
22,1,30,2700,1099,5,1601,0.6615104640582348,0.7114257626595352,0.7114257626595352,0.5421243616163426,0.6100467468360224
22,1,60,2700,1219,5,1481,0.6948318293683347,0.7142666157045745,0.7142666157045745,0.5903483414034834,0.6242292580269102
22,1,all,2700,2700,5,0,0.8603703703703703,0.7171220435570204,0.7171220435570204,0.7291107359331321,0.6419453019789733
23,1,0,2743,784,5,1959,0.7091836734693877,0.7575320547499654,0.7575320547499654,0.5465368487010169,0.4690749464183999
23,1,30,2743,904,5,1839,0.7466814159292036,0.7559572516003591,0.7559572516003591,0.6387792029677142,0.5919600029888552
23,1,60,2743,1024,5,1719,0.7724609375,0.753483471754014,0.753483471754014,0.6828419167837549,0.606096307520553
23,1,all,2743,2743,5,0,0.910681735326285,0.7558026549534242,0.7558026549534242,0.7990775989468866,0.6219610421888115
31,1,0,2670,934,5,1736,0.8597430406852249,0.763513512076121,0.763513512076121,0.8064512046772895,0.774243546161683
31,1,30,2670,1054,5,1616,0.8757115749525617,0.7646402197424278,0.7646402197424278,0.8256643615348971,0.7820909072941649
31,1,60,2670,1174,5,1496,0.8884156729131175,0.7652012164465721,0.7652012164465721,0.8384246948807627,0.7862308537183876
31,1,all,2670,2670,5,0,0.950561797752809,0.7663682710009676,0.7663682710009676,0.880371674657389,0.7959291350477452
33,1,0,2809,1768,4,1041,0.8444570135746606,0.7360995415966529,0.5888796332773223,0.7529742670519902,0.5826068250692769
33,1,30,2809,1888,4,921,0.8522245762711864,0.7363681884780682,0.5890945507824545,0.7575324608370956,0.5823702946608444
33,1,60,2809,1983,4,826,0.8567826525466465,0.7361425548493848,0.5889140438795079,0.7589283765082172,0.5816751869238047
33,1,all,2809,2809,4,0,0.8939124243503026,0.738824080989149,0.5910592647913192,0.7771527544096537,0.5817634751871285
34,1,0,2750,1381,4,1369,0.7487328023171614,0.6343826506123986,0.5075061204899189,0.6275880773971336,0.5296409168862631
34,1,30,2750,1501,4,1249,0.7688207861425717,0.6346750824757745,0.5077400659806196,0.6481538525973333,0.5344229886286177
34,1,60,2750,1621,4,1129,0.7859346082665022,0.6348724145461826,0.5078979316369461,0.663963376239481,0.5377959784579397
34,1,all,2750,2750,4,0,0.8723636363636363,0.634951342089609,0.5079610736716872,0.7242290197638013,0.5483237996643859
38,1,0,2750,1656,5,1094,0.9208937198067633,0.799052810475317,0.799052810475317,0.8751884950828746,0.7585881880349163
38,1,30,2750,1776,5,974,0.9256756756756757,0.7992112948202796,0.7992112948202796,0.8797628615404973,0.7582873095000462
38,1,60,2750,1896,5,854,0.930379746835443,0.7995296644142148,0.7995296644142148,0.8841712458005644,0.7587082472045545
38,1,all,2750,2750,5,0,0.9498181818181818,0.7999706377067783,0.7999706377067783,0.896581860158509,0.7589092101454175
43,1,0,2723,579,5,2144,0.7150259067357513,0.57560865026785,0.57560865026785,0.4893142747177557,0.5172366999310241
43,1,30,2723,699,5,2024,0.7625178826895566,0.5972475747236758,0.5972475747236758,0.6339309657289423,0.5917475224418466
43,1,60,2723,819,5,1904,0.7973137973137974,0.5998279424260735,0.5998279424260735,0.6958067540324836,0.6024553731496972
43,1,all,2723,2723,5,0,0.9305912596401028,0.6003883027483335,0.6003883027483335,0.7983490898718266,0.6062155660456955
61,1,0,2644,1532,5,1112,0.597911227154047,0.5106292424621558,0.5106292424621558,0.4614932942872909,0.4511109736227496
61,1,30,2644,1652,5,992,0.6204600484261501,0.5102601997401719,0.5102601997401719,0.4780113508659293,0.45113474770347173
61,1,60,2644,1772,5,872,0.6461625282167043,0.5126319597167223,0.5126319597167223,0.49774287080794644,0.4530843855167663
61,1,all,2644,2644,5,0,0.7628593040847201,0.5198509838828014,0.5198509838828014,0.5713161965453701,0.45896029099245245
62,1,0,2612,1325,5,1287,0.6618867924528302,0.5979476389991114,0.5979476389991114,0.3936434713502669,0.48244447347776315
62,1,30,2612,1445,5,1167,0.68719723183391,0.6258858067645127,0.6258858067645127,0.48009873618636656,0.503039010833306
62,1,60,2612,1565,5,1047,0.7111821086261981,0.6407594606721787,0.6407594606721787,0.5389609839426925,0.5128275903944943
62,1,all,2612,2612,5,0,0.8250382848392037,0.6688345195609955,0.6688345195609955,0.6989746035260566,0.5289660662096554
63,1,0,2758,943,5,1815,0.7327677624602333,0.6617925170934225,0.6617925170934225,0.5780483430785375,0.6135758643570515
63,1,30,2758,1063,5,1695,0.7629350893697083,0.6794733071539513,0.6794733071539513,0.6401948682543925,0.6354295228936369
63,1,60,2758,1183,5,1575,0.7869822485207101,0.6868546078588322,0.6868546078588322,0.6779989263606543,0.6450144608482795
63,1,all,2758,2758,5,0,0.9075416968817984,0.700789602801689,0.700789602801689,0.787593059603449,0.6613571498237537
64,1,0,2680,1151,4,1529,0.7341442224152911,0.7050642115746949,0.564051369259756,0.5924376603404164,0.5374612415638694
64,1,30,2680,1271,4,1409,0.7498033044846577,0.7116281949607708,0.5693025559686167,0.6037692011328779,0.5419914572995904
64,1,60,2680,1391,4,1289,0.7606038820992091,0.7150999496066098,0.5720799596852879,0.6074307986850034,0.5434486440934783
64,1,all,2680,2680,4,0,0.8720149253731343,0.7451587768919414,0.5961270215135531,0.6801319502681109,0.563915823753464
66,1,0,2664,1907,5,757,0.6680650235972732,0.563261018957346,0.563261018957346,0.46921284937130314,0.42930110409513433
66,1,30,2664,2026,5,638,0.6875616979269497,0.5639273380799905,0.5639273380799905,0.48085769570180625,0.4320800981693381
66,1,60,2664,2086,5,578,0.6965484180249281,0.5642104994958301,0.5642104994958301,0.486054911607414,0.4332825315147134
66,1,all,2664,2664,5,0,0.7623873873873874,0.5659247007667034,0.5659247007667034,0.5211740480054883,0.44084954040329605
67,1,0,2780,1848,5,932,0.7456709956709957,0.7187829157906419,0.7187829157906419,0.6219172715499885,0.5959968139986995
67,1,30,2780,1968,5,812,0.7535569105691057,0.7174604895480879,0.7174604895480879,0.6254142800798244,0.593439759326639
67,1,60,2780,2035,5,745,0.7616707616707616,0.7185243936633325,0.7185243936633325,0.6324082598876117,0.594592188849788
67,1,all,2780,2780,5,0,0.8255395683453237,0.7248683970331763,0.7248683970331763,0.6795111778885294,0.6014894090470145
74,1,0,2689,2090,4,599,0.8368421052631579,0.6628662184858016,0.5302929747886413,0.7263389497289079,0.540547863544058
74,1,30,2689,2210,4,479,0.8452488687782805,0.6640494878530102,0.5312395902824082,0.7329389121877052,0.5420544996478385
74,1,60,2689,2277,4,412,0.849802371541502,0.6647225232426173,0.5317780185940938,0.7365550674652779,0.5428897352531961
74,1,all,2689,2689,4,0,0.8728151729267386,0.6677005207561338,0.5341604166049071,0.7534284919890362,0.5466199936345755
81,1,0,2402,1173,5,1229,0.7979539641943734,0.7416385562489458,0.7416385562489458,0.719056112781385,0.7121157303293246
81,1,30,2402,1293,5,1109,0.814385150812065,0.7483052229156125,0.7483052229156125,0.744580189490683,0.7172513929159171
81,1,60,2402,1413,5,989,0.8294409058740269,0.7524718895822793,0.7524718895822793,0.763639064281862,0.7204814994983949
81,1,all,2402,2402,5,0,0.898834304746045,0.7617372628520773,0.7617372628520773,0.8233878039348822,0.7273517862125067
